,mmol_experiment1_reagent1_chemical1,mmol_experiment1_reagent2_chemical2,mmol_experiment1_reagent2_chemical3,mmol_experiment1_reagent3_chemical3,mmol_experiment1_reagent6_chemical5
180,0.7415495411778372,0.3285,0.657,1.008,0.5300890723441235
181,4.293181554187479,0.2355,0.471,0.0585,0.7421247012817728
182,0.2601928214659078,0.6075,1.215,0.3375,4.028676949815338
183,1.4440701591357883,0.4215,0.843,0.486,5.67195307408212
184,3.7337669880357764,0.051,0.102,0.8055,2.3854008255485555
185,0.5724242072249972,0.0735,0.147,1.8315,3.2070388876819464
186,1.8863979556278314,0.4455,0.891,0.261,6.493591136215512
187,0.9106748751306772,0.63,1.26,0.045,4.850315011948729
188,2.875130677198281,0.2595,0.519,0.477,1.563762763415164
189,3.083284934371007,0.3525,0.705,0.126,1.1661959591570714
190,0.18213497502613546,0.723,1.446,0.018,4.426243754073431
191,1.0928098501568126,0.5385,1.077,0.2565,6.069519878340213
192,0.20815425717272623,0.1665,0.333,1.6785,2.782967629806648
193,1.300964107329539,0.12,0.24,1.44,1.9613295676732567
194,1.9384365199210132,0.492,0.984,0.1035,5.247881816206822
195,0.299221744685794,0.6765,1.353,0.117,3.6046056919400393
196,2.1596004181670345,0.306,0.612,0.585,0.34455789702368017
197,0.48135671971192945,0.213,0.426,1.4445,0.23854008255485554
198,1.3139737484028344,0.5835,1.167,0.045,3.4985878774712145
199,2.393773957486352,0.399,0.798,0.225,5.141864001737996
200,5.203856429318156,0.027,0.054,0.369,1.8818162068216382
201,2.0555232895806714,0.039,0.078,1.422,2.7034542689550296
202,0.8326170286909049,0.4095,0.819,0.7335,5.963502063871388
203,1.2489255430363573,0.5955,1.191,0.0315,4.320225939604605
204,3.5256127308630507,0.225,0.45,0.3555,1.060178144688247
205,0.3642699500522709,0.318,0.636,1.17,1.4577449489463392
206,0.32524102683238476,0.6885,1.377,0.072,4.744297197479905
207,1.704262980601696,0.5025,1.005,0.153,6.387573321746687
208,1.2229062608897665,0.132,0.264,1.431,3.1010210732131216
209,4.319200836334069,0.1785,0.357,0.2205,2.2793830110797306
210,0.27320246253920316,0.549,1.098,0.5085,5.565935259613296
211,0.1300964107329539,0.735,1.47,0.0,3.9226591353465134
212,2.9922174468579397,0.363,0.726,0.126,0.6361068868129481
213,2.237658264606807,0.2715,0.543,0.6615,0.4240712578752987
214,0.20815425717272623,0.642,1.284,0.252,3.7106235064088637
215,1.5221280055755606,0.456,0.912,0.3555,5.353899630675646
216,2.5238703682193053,0.0855,0.171,1.1205,2.0673473821420814
217,0.4032988732721571,0.0615,0.123,1.926,2.8889854442754728
218,1.2489255430363573,0.4335,0.867,0.5175,6.175537692809038
219,0.10407712858636312,0.6195,1.239,0.3555,4.532261568542255
220,3.7207573469624813,0.2475,0.495,0.2205,1.24570932000869
221,1.535137646648856,0.3405,0.681,0.6975,0.8481425157505974
222,0.27320246253920316,0.7125,1.425,0.018,4.134694764284163
223,1.600185852015333,0.5265,1.053,0.117,5.7779708885509455
224,1.6522244163085145,0.1545,0.309,1.215,2.49141864001738
225,4.956673248925544,0.108,0.216,0.2115,1.669780577883989
226,2.081542571727262,0.48,0.96,0.09,4.956332826417555
227,0.20815425717272623,0.666,1.332,0.18,3.3130567021507713
228,2.276687187826693,0.294,0.588,0.5805,0.02650445361720617
229,4.34522011848066,0.201,0.402,0.144,0.02650445361720617
230,1.274944825182948,0.573,1.146,0.09,3.3130567021507713
231,2.7970728307585087,0.387,0.774,0.1215,4.956332826417555
232,5.594145661517017,0.015,0.03,0.27,1.669780577883989
233,1.5091183645022652,0.021,0.042,1.665,2.49141864001738
234,1.8603786734812406,0.393,0.786,0.4275,5.7779708885509455
235,0.702520617957951,0.579,1.158,0.27,4.134694764284163
236,4.293181554187479,0.207,0.414,0.144,0.8481425157505974
237,1.5871762109420373,0.3,0.6,0.801,1.2722137736258963
238,0.1170867696596585,0.6705,1.341,0.198,4.532261568542255
